Year,Season_type,PLAYER,FG_PCT,FG3_PCT,REB,AST,STL,BLK,PTS
2018,Regular%20Season,Kevin Durant,0.521,0.353,6.4,5.9,0.7,1.1,26.0
2018,Regular%20Season,LeBron James,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Regular%20Season,Stephen Curry,0.472,0.437,5.3,5.2,1.3,0.4,27.3
2018,Regular%20Season,Giannis Antetokounmpo,0.578,0.256,12.5,5.9,1.3,1.5,27.7
2018,Regular%20Season,Luka Dončić,0.427,0.327,7.8,6.0,1.1,0.3,21.2
2018,Playoffs,Kevin Durant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Playoffs,LeBron James,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Playoffs,Stephen Curry,0.441,0.377,6.0,5.7,1.1,0.2,28.2
2018,Playoffs,Giannis Antetokounmpo,0.494,0.327,12.2,4.9,1.2,2.0,25.5
2018,Playoffs,Luka Dončić,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Regular%20Season,Stephen Curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Regular%20Season,Kevin Durant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Regular%20Season,LeBron James,0.493,0.348,7.8,10.2,1.2,0.5,25.3
2019,Regular%20Season,Giannis Antetokounmpo,0.553,0.304,13.6,5.6,1.0,1.0,29.5
2019,Regular%20Season,Luka Dončić,0.463,0.316,9.4,8.8,1.0,0.2,28.8
2019,Playoffs,Kevin Durant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Playoffs,Giannis Antetokounmpo,0.559,0.325,13.8,5.7,0.7,0.9,26.7
2019,Playoffs,Stephen Curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Playoffs,LeBron James,0.56,0.37,10.8,8.8,1.2,0.9,27.6
2019,Playoffs,Luka Dončić,0.5,0.364,9.8,8.7,1.2,0.5,31.0
2020,Regular%20Season,Giannis Antetokounmpo,0.569,0.303,11.0,5.9,1.2,1.2,28.1
2020,Regular%20Season,Luka Dončić,0.479,0.35,8.0,8.6,1.0,0.5,27.7
2020,Regular%20Season,Stephen Curry,0.482,0.421,5.5,5.8,1.2,0.1,32.0
2020,Regular%20Season,LeBron James,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Regular%20Season,Kevin Durant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Playoffs,Stephen Curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Playoffs,Kevin Durant,0.514,0.402,9.3,4.4,1.5,1.6,34.3
